awarding_office,fain,award_num,recipient_name,date_terminated,amt_obligated,amt_expended,total_payment_amt,amt_unliquidated,award_title,pres_action,for_cause
"CDC","NH23IP922575","20NH23IP922575C6","OK ST DEPARTMENT OF
HEALTH",24mar2025,21991989,17108968.09,17108968.09,4883020.91,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922575","20NH23IP922575IISC6","OK ST DEPARTMENT OF HEALTH",24mar2025,930733,,,930733,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922575","20NH23IP922575UDSPC5","OK ST DEPARTMENT OF
HEALTH",24mar2025,3575461,,,3575461,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922576","20NH23IP922576C6","REPUBLIC OF PALAU, BUREAU
OF HEALTH SEVICES",24mar2025,1578482,228027.05,228027.05,1350454.95,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922576","20NH23IP922576UDSPC5","REPUBLIC OF PALAU, BUREAU
OF HEALTH SEVICES",24mar2025,100000,,,100000,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922577","20NH23IP922577C3","WY ST DEPARTMENT OF
HEALTH",24mar2025,490366,335751.71,335751.71,154614.29,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922577","20NH23IP922577C5","WY ST DEPARTMENT OF
HEALTH",24mar2025,6955343,3911986.12,3911986.12,3043356.88,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922577","20NH23IP922577C6","WY ST DEPARTMENT OF
HEALTH",24mar2025,30721500,14163051.03,14163051.03,16558448.97,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922577","20NH23IP922577UDSPC5","WY ST DEPARTMENT OF
HEALTH",24mar2025,522958,2046.12,2046.12,520911.88,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922578","19NH23IP922578C3","STATE OF GEORGIA
DEPARTMENT OF PUBLIC HEALTH",24mar2025,4338601,3923108.18,3923108.18,415492.82,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922578","20NH23IP922578C3","STATE OF GEORGIA
DEPARTMENT OF PUBLIC HEALTH",24mar2025,10537358,8793114.52,8793114.52,1744243.48,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922578","20NH23IP922578C5","STATE OF GEORGIA DEPARTMENT OF PUBLIC
HEALTH",24mar2025,135379769,132591162.63,132591162.63,2788606.37,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922578","20NH23IP922578C6","STATE OF GEORGIA
DEPARTMENT OF PUBLIC HEALTH",24mar2025,54684359,13940425.15,13940425.15,40743933.85,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922578","20NH23IP922578IISC6","STATE OF GEORGIA DEPARTMENT OF PUBLIC
HEALTH",24mar2025,2160718,979883.04,979883.04,1180834.96,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922578","20NH23IP922578UDSPC5","STATE OF GEORGIA
DEPARTMENT OF PUBLIC HEALTH",24mar2025,1810816,,,1810816,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922579","19NH23IP922579C3","ARKANSAS DEPARTMENT OF
HEALTH",24mar2025,1063636,173739.54,173739.54,889896.46,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922579","20NH23IP922579C3","ARKANSAS DEPARTMENT OF
HEALTH",24mar2025,2583302,1675058.42,1675058.42,908243.58,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922579","20NH23IP922579C5","ARKANSAS DEPARTMENT OF
HEALTH",24mar2025,32950719,10905395.15,10905395.15,22045323.85,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922579","20NH23IP922579C6","ARKANSAS DEPARTMENT OF
HEALTH",24mar2025,21230264,11641173.52,11641173.52,9589090.48,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922579","20NH23IP922579IISC6","ARKANSAS DEPARTMENT OF
HEALTH",24mar2025,757298,445020.21,445020.21,312277.79,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922579","20NH23IP922579UDSPC5","ARKANSAS DEPARTMENT OF
HEALTH",24mar2025,6043140,1785200.48,1785200.48,4257939.52,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922580","20NH23IP922580C3","UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES",24mar2025,2620597,2500991.92,2500991.92,119605.08,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922580","20NH23IP922580C5","UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES",24mar2025,33347971,29506587.8,29506587.8,3841383.2,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922580","20NH23IP922580C6","UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES",24mar2025,21570557,2231783.13,2231783.13,19338773.87,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922580","20NH23IP922580IISC6","UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES",24mar2025,791999,482740.75,482740.75,309258.25,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922580","20NH23IP922580UDSPC5","UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES",24mar2025,8077077,929648.11,929648.11,7147428.89,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922581","19NH23IP922581C3","SD ST DEPARTMENT OF
HEALTH",24mar2025,463150,263150,263150,200000,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922581","20NH23IP922581C5","SD ST DEPARTMENT OF
HEALTH",24mar2025,9142918,4341823.79,4341823.79,4801094.21,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922581","20NH23IP922581C6","SD ST DEPARTMENT OF
HEALTH",24mar2025,30882667,5396227.31,5396227.31,25486439.69,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922581","20NH23IP922581UDSPC5","SD ST DEPARTMENT OF HEALTH",24mar2025,2288000,140980,140980,2147020,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922582","20NH23IP922582C5","AL ST DEPARTMENT OF PUBLIC
HEALTH",24mar2025,31684698,30467970,30467970,1216728,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922582","20NH23IP922582C6","AL ST DEPARTMENT OF PUBLIC
HEALTH",24mar2025,25253541,13567669.08,13567669.08,11685871.92,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922582","20NH23IP922582UDSPC5","AL ST DEPARTMENT OF PUBLIC
HEALTH",24mar2025,31670677,29690062.79,29690062.79,1980614.21,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922584","20NH23IP922584C3","SAN ANTONIO METROPOLITAN HEALTH DISTRICT",24mar2025,1499190,725854.11,725854.11,773335.89,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922584","20NH23IP922584C5","SAN ANTONIO METROPOLITAN HEALTH DISTRICT",24mar2025,18594399,18116417.82,18116417.82,477981.18,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922584","20NH23IP922584C6","SAN ANTONIO METROPOLITAN HEALTH DISTRICT",24mar2025,7969028,7768383.31,7768383.31,200644.69,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922584","20NH23IP922584UDSPC5","SAN ANTONIO METROPOLITAN HEALTH DISTRICT",24mar2025,1398075,,,1398075,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922585","20NH23IP922585C5","VI DEPARTMENT OF HEALTH",24mar2025,963194,125487.42,125487.42,837706.58,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922585","20NH23IP922585C6","VI DEPARTMENT OF HEALTH",24mar2025,2315037,835099.26,835099.26,1479937.74,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922586","20NH23IP922586C5","WEST VIRGINIA STATE HEALTH
DEPARTMENT",24mar2025,18830518,17791454.12,17791454.12,1039063.88,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922586","20NH23IP922586C6","WEST VIRGINIA STATE HEALTH
DEPARTMENT",24mar2025,21473262,11403049.96,11403049.96,10070212.04,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922586","20NH23IP922586IISC6","WEST VIRGINIA STATE HEALTH
DEPARTMENT",24mar2025,410946,,,410946,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922587","20NH23IP922587C3","COMMONWEALTH OF THE NORTHERN MARIANA ISLANDS",24mar2025,360000,233681.37,233681.37,126318.63,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922587","20NH23IP922587C5","COMMONWEALTH OF THE NORTHERN MARIANA ISLANDS",24mar2025,1019771,873680.45,873680.45,146090.55,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922587","20NH23IP922587C6","COMMONWEALTH OF THE NORTHERN MARIANA ISLANDS",24mar2025,1868299,1136150.06,1136150.06,732148.9399999999,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922588","20NH23IP922588C5","REPUBLIC OF THE MARSHALL
ISLANDS, HEALTH SERVICES",24mar2025,1136309,,,1136309,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922588","20NH23IP922588UDSPC5","REPUBLIC OF THE MARSHALL
ISLANDS, HEALTH SERVICES",24mar2025,100000,,,100000,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922589","19NH23IP922589C3","HEALTH AND HUMAN
SERVICES, NEBRASKA DEPARTMENT OF",24mar2025,647550,534342.45,534342.45,113207.55,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922589","20NH23IP922589C3","HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",24mar2025,1572734,1325822.43,1325822.43,246911.57,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922589","20NH23IP922589C5","HEALTH AND HUMAN SERVICES, NEBRASKA
DEPARTMENT OF",24mar2025,23247104,17996866.59,17996866.59,5250237.41,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922589","20NH23IP922589C6","HEALTH AND HUMAN
SERVICES, NEBRASKA DEPARTMENT OF",24mar2025,23975995,15983833.51,15983833.51,7992161.49,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922589","20NH23IP922589IISC6","HEALTH AND HUMAN SERVICES, NEBRASKA
DEPARTMENT OF",24mar2025,557227,,,557227,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922589","20NH23IP922589UDSPC5","HEALTH AND HUMAN
SERVICES, NEBRASKA DEPARTMENT OF",24mar2025,1747903,879285.6,879285.6,868617.4,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922591","20NH23IP922591C6","AS DEPARTMENT OF HEALTH",24mar2025,1869449,1365087.85,1365087.85,504361.15,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922591","20NH23IP922591UDSPC5","AS DEPARTMENT OF HEALTH",24mar2025,160000,,,160000,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922592","20NH23IP922592C3","AK ST DEPARTMENT OF
HEALTH & SOCIAL SERVICES",24mar2025,871632,66656.57000000001,66656.57000000001,804975.4300000001,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922592","20NH23IP922592C5","AK ST DEPARTMENT OF
HEALTH & SOCIAL SERVICES",24mar2025,7000840,4620227.06,4620227.06,2380612.94,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922592","20NH23IP922592C6","AK ST DEPARTMENT OF
HEALTH & SOCIAL SERVICES",24mar2025,29534225,17569972.24,17569972.24,11964252.76,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922592","20NH23IP922592IISC6","AK ST DEPARTMENT OF
HEALTH & SOCIAL SERVICES",24mar2025,335094,209281.79,209281.79,125812.21,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922592","20NH23IP922592UDSPC5","AK ST DEPARTMENT OF
HEALTH & SOCIAL SERVICES",24mar2025,2451650,1269226.56,1269226.56,1182423.44,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922593","20NH23IP922593C6","FEDERATED STATES OF MICRONESIA, OFFICE OF
HEALTH SVCS",24mar2025,2320198,972218.23,972218.23,1347979.77,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922593","20NH23IP922593UDSPC5","FEDERATED STATES OF
MICRONESIA, OFFICE OF HEALTH SVCS",24mar2025,100000,,,100000,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922595","20NH23IP922595C3","HEALTH AND HUMAN
SERVICES, NEW HAMPSHIRE DEPT OF",24mar2025,1400235,591894.42,591894.42,808340.58,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922595","20NH23IP922595C5","HEALTH AND HUMAN SERVICES, NEW HAMPSHIRE
DEPT OF",24mar2025,14917787,11225574.51,11225574.51,3692212.49,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922595","20NH23IP922595C6","HEALTH AND HUMAN
SERVICES, NEW HAMPSHIRE DEPT OF",24mar2025,25404937,11639062.2,11639062.2,13765874.8,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922595","20NH23IP922595IISC6","HEALTH AND HUMAN SERVICES, NEW HAMPSHIRE
DEPT OF",24mar2025,451098,17866.86,17866.86,433231.14,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922595","20NH23IP922595UDSPC5","HEALTH AND HUMAN
SERVICES, NEW HAMPSHIRE DEPT OF",24mar2025,2651406,603093.61,603093.61,2048312.39,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922597","20NH23IP922597C3","HOUSTON CITY HEALTH & HUMAN SERVICES
DEPARTMENT",24mar2025,2733517,2469167.76,2469167.76,264349.24,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922597","20NH23IP922597C5","HOUSTON CITY HEALTH & HUMAN SERVICES DEPARTMENT",24mar2025,27884260,25347627.12,25347627.12,2536632.88,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922597","20NH23IP922597C6","HOUSTON CITY HEALTH &
HUMAN SERVICES DEPARTMENT",24mar2025,11950397,11192410.95,11192410.95,757986.05,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922597","20NH23IP922597UDSPC5","HOUSTON CITY HEALTH & HUMAN SERVICES DEPARTMENT",24mar2025,2096561,401984.85,401984.85,1694576.15,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922601","20NH23IP922601C5","SOUTH CAROLINA DEPARTMENT OF PUBLIC
HEALTH",24mar2025,61875620,53698686.24,53698686.24,8176933.76,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922601","20NH23IP922601C6","SOUTH CAROLINA
DEPARTMENT OF PUBLIC HEALTH",24mar2025,27974028,9328497.08,9328497.08,18645530.92,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922601","20NH23IP922601UDSPC5","SOUTH CAROLINA DEPARTMENT OF PUBLIC
HEALTH",24mar2025,4652302,27273,27273,4625029,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922605","19NH23IP922605C3","MS ST DEPARTMENT OF
HEALTH",24mar2025,1058177,903295.88,903295.88,154881.12,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922605","20NH23IP922605C3","MS ST DEPARTMENT OF
HEALTH",24mar2025,2570043,1195024.32,1195024.32,1375018.68,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922605","20NH23IP922605C5","MS ST DEPARTMENT OF
HEALTH",24mar2025,33637618,14901933.05,14901933.05,18735684.95,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922605","20NH23IP922605C6","MS ST DEPARTMENT OF
HEALTH",24mar2025,24124813,8111366.9,8111366.9,16013446.1,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922605","20NH23IP922605IISC6","MS ST DEPARTMENT OF HEALTH",24mar2025,749605,456462,456462,293143,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922605","20NH23IP922605UDSPC5","MS ST DEPARTMENT OF
HEALTH",24mar2025,4818006,1172894.94,1172894.94,3645111.06,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922606","20NH23IP922606C3","MO ST DEPARTMENT OF
HEALTH & SENIOR SERVICES",24mar2025,5517824,2696651.72,2696651.72,2821172.28,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922606","20NH23IP922606C5","MO ST DEPARTMENT OF
HEALTH & SENIOR SERVICES",24mar2025,49803363,31340436.99,31340436.99,18462926.01,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922606","20NH23IP922606C6","MO ST DEPARTMENT OF
HEALTH & SENIOR SERVICES",24mar2025,31610431,1566000,1566000,30044431,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922606","20NH23IP922606IISC6","MO ST DEPARTMENT OF
HEALTH & SENIOR SERVICES",24mar2025,1333398,1000000,1000000,333398,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922606","20NH23IP922606UDSPC5","MO ST DEPARTMENT OF
HEALTH & SENIOR SERVICES",24mar2025,29500000,25730435.83,25730435.83,3769564.17,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922607","19NH23IP922607C3","FL ST DEPT OF HLTH",24mar2025,8792153,6711099.61,6711099.61,2081053.39,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922607","20NH23IP922607C3","FL ST DEPT OF HLTH",24mar2025,21353906,9203584.65,9203584.65,12150321.35,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922607","20NH23IP922607C5","FL ST DEPT OF HLTH",24mar2025,271507432,170332720.78,170332720.78,101174711.22,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922607","20NH23IP922607C6","FL ST DEPT OF HLTH",24mar2025,110619713,,,110619713,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922608","19NH23IP922608C3","PR DEPARTMENT OF HEALTH,
ADMIN OF FACILITIES/HLTH SVCS",24mar2025,993245,735508.6,735508.6,257736.4,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922608","20NH23IP922608C3","PR DEPARTMENT OF HEALTH,
ADMIN OF FACILITIES/HLTH SVCS",24mar2025,2412341,1748289.49,1748289.49,664051.51,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922608","20NH23IP922608C5","PR DEPARTMENT OF HEALTH,
ADMIN OF FACILITIES/HLTH SVCS",24mar2025,37470466,17818350.63,17818350.63,19652115.37,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922608","20NH23IP922608C6","PR DEPARTMENT OF HEALTH,
ADMIN OF FACILITIES/HLTH SVCS",24mar2025,19873207,685220.6899999999,685220.6899999999,19187986.31,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922608","20NH23IP922608IISC6","PR DEPARTMENT OF HEALTH, ADMIN OF FACILITIES/HLTH
SVCS",24mar2025,789779,,,789779,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922608","20NH23IP922608UDSPC5","PR DEPARTMENT OF HEALTH,
ADMIN OF FACILITIES/HLTH SVCS",24mar2025,2885775,2102447.04,2102447.04,783327.96,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922610","19NH23IP922610C3","VA ST DEPARTMENT OF
HEALTH",24mar2025,3762691,3105442.94,3105442.94,657248.0600000001,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922610","20NH23IP922610C3","VA ST DEPARTMENT OF
HEALTH",24mar2025,9138620,6187192.22,6187192.22,2951427.78,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922610","20NH23IP922610C5","VA ST DEPARTMENT OF
HEALTH",24mar2025,102577173,59821432.17,59821432.17,42755740.83,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922610","20NH23IP922610C6","VA ST DEPARTMENT OF
HEALTH",24mar2025,43961646,32730932.81,32730932.81,11230713.19,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922610","20NH23IP922610UDSPC5","VA ST DEPARTMENT OF
HEALTH",24mar2025,7712569,5838919.1,5838919.1,1873649.9,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922615","20NH23IP922615C3","VT ST AGENCY FOR HUMAN
SERVICES",24mar2025,637128,304413,304413,332715,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922615","20NH23IP922615C6","VT ST AGENCY FOR HUMAN
SERVICES",24mar2025,30370025,25321035,25321035,5048990,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922615","20NH23IP922615IISC6","VT ST AGENCY FOR HUMAN
SERVICES",24mar2025,315232,157101,157101,158131,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922616","20NH23IP922616C5","TX ST DEPARTMENT OF HEALTH",24mar2025,293440403,230591481.4,230591481.4,62848921.6,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922616","20NH23IP922616C6","TX ST DEPARTMENT OF HEALTH",24mar2025,129422009,92556047.78,92556047.78,36865961.22,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922616","20NH23IP922616IISC6","TX ST DEPARTMENT OF HEALTH",24mar2025,5554666,695121.46,695121.46,4859544.54,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922616","20NH23IP922616UDSPC5","TX ST DEPARTMENT OF HEALTH",24mar2025,31249900,18705841.13,18705841.13,12544058.87,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922617","20NH23IP922617C3","TN ST DEPARTMENT OF
HEALTH",24mar2025,5923089,4385406.43,4385406.43,1537682.57,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922617","20NH23IP922617C5","TN ST DEPARTMENT OF
HEALTH",24mar2025,74007179,73583062.28,73583062.28,424116.72,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922617","20NH23IP922617C6","TN ST DEPARTMENT OF
HEALTH",24mar2025,35173225,32968584.19,32968584.19,2204640.81,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922617","20NH23IP922617IISC6","TN ST DEPARTMENT OF HEALTH",24mar2025,1461112,1103568.25,1103568.25,357543.75,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922617","20NH23IP922617UDSPC5","TN ST DEPARTMENT OF
HEALTH",24mar2025,14234420,9724239.9,9724239.9,4510180.1,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922621","20NH23IP922621C5","LA ST DEPT OF HLTH & HOSPITALS, OFFICE OF PUBLIC
HEALTH",24mar2025,53867739,36434691.3,36434691.3,17433047.7,"Immunization and Vaccines for Children","N/A - Departmental Authority","-"
"CDC","NH23IP922622","19NH23IP922622C3","IA ST DEPARTMENT OF PUBLIC
HEALTH",24mar2025,1260853,1073170.58,1073170.58,187682.42,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922622","20NH23IP922622C3","IA ST DEPARTMENT OF PUBLIC
HEALTH",24mar2025,2576541,1862930.56,1862930.56,713610.4399999999,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922622","20NH23IP922622C5","IA ST DEPARTMENT OF PUBLIC
HEALTH",24mar2025,37916635,19875741.49,19875741.49,18040893.51,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922622","20NH23IP922622C6","IA ST DEPARTMENT OF PUBLIC
HEALTH",24mar2025,21249249,20225327.94,20225327.94,1023921.06,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922622","20NH23IP922622IISC6","IA ST DEPARTMENT OF PUBLIC
HEALTH",24mar2025,782646,69900,69900,712746,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922622","20NH23IP922622UDSPC5","IA ST DEPARTMENT OF PUBLIC
HEALTH",24mar2025,2850875,,,2850875,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922623","20NH23IP922623C6","HEALTH, NORTH DAKOTA
DEPARTMENT OF",24mar2025,29297083,22216680,22216680,7080403,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922623","20NH23IP922623IISC6","HEALTH, NORTH DAKOTA
DEPARTMENT OF",24mar2025,340730,172759,172759,167971,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922623","20NH23IP922623UDSPC5","HEALTH, NORTH DAKOTA
DEPARTMENT OF",24mar2025,2451143,1166901,1166901,1284242,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922627","19NH23IP922627C3","KS ST DEPARTMENT OF HEALTH
& ENVIRONMENT",24mar2025,1191249,767763.95,767763.95,423485.05,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922627","20NH23IP922627C3","KS ST DEPARTMENT OF HEALTH
& ENVIRONMENT",24mar2025,2407491,1459879.08,1459879.08,947611.92,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922627","20NH23IP922627C5","KS ST DEPARTMENT OF HEALTH
& ENVIRONMENT",24mar2025,35011234,28952497.82,28952497.82,6058736.18,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922627","20NH23IP922627C6","KS ST DEPARTMENT OF HEALTH
& ENVIRONMENT",24mar2025,25109056,17745108.19,17745108.19,7363947.81,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
"CDC","NH23IP922627","20NH23IP922627IISC6","KS ST DEPARTMENT OF HEALTH
& ENVIRONMENT",24mar2025,738001,491267.99,491267.99,246733.01,"Immunization and Vaccines for Children","N/A - Departmental
Authority","-"
